QueryNumber;Ranking;RecordNum;Score
1;1;437;1.0712710367357394
1;2;484;0.8046936861188907
1;3;498;0.8002725279446122
1;4;856;0.7433860656538159
1;5;957;0.7175649037885874
1;6;526;0.702742051735153
1;7;441;0.6892635130178518
1;8;975;0.6733462903240928
1;9;741;0.6489273971850648
1;10;827;0.6482986311208845
1;11;499;0.634775571036426
1;12;533;0.6122477948846986
1;13;754;0.5921290272369786
1;14;505;0.5695423983716807
1;15;392;0.5622890552055236
1;16;925;0.5344644000533427
1;17;27;0.5306746118213121
1;18;592;0.529359960232094
1;19;568;0.5292028342265361
1;20;481;0.5280928340416527
1;21;151;0.4851177683192673
1;22;461;0.473544810204712
1;23;1026;0.4673641636233187
1;24;1107;0.464026265628343
1;25;40;0.45821937085472947
1;26;139;0.4546716040508507
1;27;302;0.45389831828409793
1;28;52;0.45072774869391563
1;29;943;0.4497010194660825
1;30;1188;0.4390559749961984
1;31;730;0.4329144086983433
1;32;960;0.4298505319472571
1;33;439;0.42469567604634306
1;34;1064;0.41836857608867994
1;35;11;0.4052310531215425
1;36;53;0.3991930721528368
1;37;711;0.3930398184854279
1;38;265;0.3841972280896595
1;39;926;0.37829108170361186
1;40;767;0.3780515334340617
1;41;501;0.37700771175110304
1;42;511;0.37678271126141916
1;43;950;0.369721876028455
1;44;875;0.3679976508605464
1;45;789;0.3669899391550676
1;46;980;0.3651763208408193
1;47;847;0.36415450010260003
1;48;463;0.35098070611008086
1;49;490;0.35076231781689515
1;50;311;0.34957339271039073
1;51;867;0.3445481125177566
1;52;1111;0.3439736081169746
1;53;503;0.34014197394321016
1;54;967;0.33340440222955664
1;55;701;0.3299669152337925
1;56;1031;0.3231046206999647
1;57;527;0.3216533715460577
1;58;1148;0.3163508900509827
1;59;522;0.3099294282376487
1;60;1167;0.30963377373559187
1;61;564;0.30790351567364427
1;62;398;0.30378503541579693
1;63;246;0.29917044331767506
1;64;861;0.2842775595425953
1;65;1180;0.28241066458376346
1;66;1185;0.2795509253686206
1;67;189;0.27791931936220066
1;68;990;0.26726189912697046
1;69;552;0.2660702738295197
1;70;690;0.2630360684430574
1;71;531;0.2627122879292523
1;72;266;0.2612840865676999
1;73;911;0.2572336486921098
1;74;1102;0.2537521658586041
1;75;43;0.251241589043594
1;76;909;0.2502086016494667
1;77;96;0.24964234291626228
1;78;1238;0.2478026029104522
1;79;171;0.24742147270818382
1;80;636;0.24695784315222116
1;81;277;0.2461434152281089
1;82;377;0.24203148979293185
1;83;322;0.2395431587968229
1;84;563;0.23686284051448533
1;85;850;0.23431601231782406
1;86;386;0.23404059508942063
1;87;520;0.2338191121222931
1;88;1193;0.2337746357524519
1;89;776;0.23314410292370175
1;90;133;0.2315234554733499
1;91;510;0.23098782138697319
1;92;134;0.23014956767735006
1;93;430;0.22817534807607287
1;94;914;0.22777186376953665
1;95;106;0.22625394661542833
1;96;435;0.22593642671143202
1;97;299;0.22506177083488663
1;98;1234;0.22491580659594912
1;99;497;0.2233719626481934
1;100;846;0.2231317648228303
1;101;529;0.22189869746622853
1;102;559;0.22090512309867386
1;103;330;0.22070337003343624
1;104;753;0.21966141203676973
1;105;726;0.2185369149820845
1;106;465;0.21762506594208542
1;107;742;0.2165801494985571
1;108;67;0.21612582309966827
1;109;734;0.21266582953395372
1;110;154;0.21205439330263398
1;111;1078;0.2105176897706364
1;112;1201;0.20732835145599818
1;113;478;0.2065835106880691
1;114;1145;0.20614578940385736
1;115;658;0.20481528666570312
1;116;1202;0.20121467975543367
1;117;444;0.20003351354598436
1;118;502;0.19755458216276814
1;119;109;0.19666210447762808
1;120;582;0.19603164645864676
1;121;56;0.19299017244221006
1;122;270;0.192086977297282
1;123;300;0.19039261585138206
1;124;931;0.18880064202865035
